id,hashtag,board_id,content
14,"[{""tag"":""체험""},{""tag"":""바다""},{""tag"":""자연""},{""tag"":""산""},{""tag"":""숙박""}]",14,"자유로운 캠핑 여행 4일 동안을 마치고 돌아왔어요! 이번 여행은 자연 속에서의 자유로움을 느끼며 힐링하는 것에 초점을 맞추었어요. 첫째 날, 우리는 산속의 캠핑장에 도착하여 텐트를 설치하고 자연 속에서의 조용한 밤을 보냈어요. 

첫째 날, 강가에서의 낚시와 바베큐로 즐거운 시간을 보냈어요. 바닷바람이 불면서 푹신한 잔디밭에서 즐기는 밤은 정말로 특별했어요. 

마지막 날, 일출을 바라보며 마지막 순간을 캠핑장에서 즐기며 여행을 마무리했어요. 다음에는 어떤 자유로운 여행을 계획할지 기대돼요!"
15,"[{""tag"":""쇼핑""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""산""},{""tag"":""체험""}]",15,"미스터리한 트레킹 여행 5일을 마치고 돌아왔어요! 이번 여행은 트레킹을 통해 자연의 미스터리한 아름다움을 찾아 나선 특별한 경험이었어요. 첫째 날, 우리는 숲속을 트레킹하며 다양한 동물과 식물을 발견했어요. 

다섯째 날, 높은 산 정상에 도달하여 멀리 펼쳐진 풍경을 감상하며 여행을 마무리했어요. 산 정상에서의 일몰은 정말로 잊지 못할 순간이었어요. 

트레킹을 통해 찾은 미스터리한 자연의 아름다움은 이 여행의 큰 즐거움이었어요. 다음에는 어떤 자연의 비밀을 찾아 나설지 기대돼요!"
16,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""문화""},{""tag"":""음식""},{""tag"":""숙박""}]",16,"문화 속에서의 카페 투어 3일을 마치고 돌아왔어요! 이번 여행은 역사적인 건물과 공간에서 커피를 즐기며 고요한 시간을 보내는 것에 초점을 맞추었어요. 첫째 날, 우리는 오래된 성벽 도시에서 아름다운 역사적 건물들 사이를 산책하며 다양한 카페를 방문했어요. 

둘째 날, 역사적인 공연장에서 전통 음악을 감상하며 특별한 카페에서 차를 마셨어요. 역사와 예술이 어우러진 분위기는 정말로 특별했어요. 

마지막 날, 도시의 문화 박물관을 방문하여 그림과 사진 속에 담긴 지난 세기의 카페 문화를 살펴보며 이번 여행을 마무리했어요. 문화 속에서의 카페 투어는 정말로 감동적이었어요. 다음에는 어떤 특별한 카페를 만날지 기대돼요!"
17,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""산""}]",17,"힐링과 명상의 리트리트 4일간을 마치고 돌아왔어요! 이번 여행은 마음과 몸을 휴식시키며 내면의 평화를 찾는 것에 중점을 두었어요. 첫째 날, 우리는 산 속의 리트리트에서 요가와 명상 수업을 듣고 아름다운 자연 속에서 휴식을 취했어요. 

첫째 날, 정원에서의 명상과 식물 치유 세션을 통해 마음의 안정을 찾았어요. 이틀 내내의 프로그램은 정말로 몸과 마음을 가다듬는 데 도움이 되었어요. 

마지막 날, 일출을 배경으로 한 명상 세션을 통해 이번 여행을 마무리했어요. 평화로운 리트리트에서의 경험은 정말로 감사한 시간이었어요. 다음에는 또 어떤 힐링 여행을 떠날지 기대돼요!"
18,"[{""tag"":""액티비티""},{""tag"":""쇼핑""},{""tag"":""카페""},{""tag"":""바다""}]",18,"다채로운 수상 스포츠 여행 5일을 마치고 돌아왔어요! 이번 여행은 바다에서의 다양한 수상 스포츠를 즐기며 활기찬 시간을 보내는 것이 목표였어요. 첫째 날, 우리는 서핑 수업을 듣고 파도에 맞서 놀라운 경험을 했어요. 

첫째 날, 해안가에서 제트 스키를 타며 바다의 속도를 느끼며 즐거운 시간을 보냈어요. 선상에서의 흥미진진한 모험은 정말 잊지 못할 추억으로 남았어요. 

마지막 날, 패들보드를 타고 일몰을 감상하며 이번 여행을 마무리했어요. 바다에서의 수상 스포츠는 정말로 활기찬 경험이었어요. 다음에는 어떤 수상 스포츠를 시도해볼지 기대돼요! \"
19,"[{""tag"":""도시""},{""tag"":""체험""},{""tag"":""자연""},{""tag"":""카페""}]",19,"문화와 예술의 축제 3일간을 마치고 돌아왔어요! 이번 여행은 도시에서 열리는 다양한 문화와 예술 행사에 참여하며 예술적인 즐거움을 찾는 것이 목표였어요. 첫째 날, 우리는 거리 예술가들의 공연을 감상하며 도시의 활력을 느꼈어요. 

첫째 날, 예술과 음악 페스티벌에서 다양한 퍼포먼스와 전시를 즐겼어요. 다양한 문화를 한 자리에서 만날 수 있는 축제는 정말로 특별한 경험이었어요. 

마지막 날, 도시의 공원에서 열린 야간 조명 행사를 즐기며 이번 여행을 마무리했어요. 문화와 예술이 어우러진 축제는 정말로 멋진 시간이었어요. 다음에는 어떤 예술 축제를 만날지 기대돼요!"
20,"[{""tag"":""음식""},{""tag"":""풍경""},{""tag"":""자연""},{""tag"":""바다""}]",20,"친구와 함께하는 자동차 여행 6일을 마치고 돌아왔어요! 이번 여행은 도로를 따라 여러 도시를 여행하며 친구와의 소중한 시간을 보내는 것에 중점을 두었어요. 첫째 날, 우리는 일출을 보며 출발하여 푸른 하늘 아래로 펼쳐진 길을 달려갔어요. 

다섯째 날, 유명한 명소들을 찾아가며 사진을 찍고, 맛있는 음식을 즐기며 즐거운 순간을 만들었어요. 도로 여행은 정말로 다양한 경험을 만들어주는 것 같아 기뻤어요. 

마지막 날, 친구들과 함께 한 여행의 추억을 정리하며 이번 여행을 마무리했어요. 다음에는 어떤 도로 여행을 떠날지 기대돼요!"
21,"[{""tag"":""음식""},{""tag"":""관광""},{""tag"":""도심""}]",21,"도심 속 힐링 퍼마쥬르 투어 3일을 마치고 돌아왔어요! 이번 여행은 도시의 다양한 퍼마쥬르 매장에서 감성을 느끼며 달콤한 시간을 보내는 것이 목표였어요. 첫째 날, 우리는 도시의 명장 퍼마쥬르 매장을 방문하여 다양한 종류의 디저트를 즐겼어요. 

첫째 날, 예쁜 디저트 카페에서 특별한 음료와 디저트를 즐기며 친구들과 함께 행복한 시간을 보냈어요. 각자의 취향에 맞는 디저트를 찾는 것이 정말로 즐거웠어요. 

마지막 날, 도시의 공원에서 퍼마쥬르 피크닉을 즐기며 이번 여행을 마무리했어요. 달콤한 디저트와 함께한 도시 속 힐링은 정말로 특별한 경험이었어요. 다음에는 어떤 도시의 퍼마쥬르를 탐험할지 기대돼요!"
22,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""음식""},{""tag"":""액티비티""}]",22,"소소한 마을 탐험과 미니 어드벤처 2일을 마치고 돌아왔어요! 이번 여행은 작은 마을에서의 여유로운 시간과 미니 어드벤처에 초점을 맞추었어요. 첫째 날, 우리는 마을 주변을 걷으며 작은 상점들을 탐험했어요. 마을 주민들의 따뜻한 환영은 정말로 기분 좋았어요. 

둘째 날, 마을의 산책로를 따라 자전거를 타며 주변 자연을 즐겼어요. 강가에서의 피크닉과 간단한 어드벤처는 작은 마을에서의 특별한 경험이었어요. ♀

마을의 아늑한 카페에서 차를 마시며 이번 여행을 마무리했어요. 작은 마을에서의 여유로운 시간은 정말로 소중한 경험이었어요. 다음에는 다른 작은 마을을 탐험해보고 싶어요!"
23,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""체험""}]",23,"전통과 현대의 조화, 문화 여행 4일을 마치고 돌아왔어요! 이번 여행은 고전적인 명소와 현대적인 문화를 함께 즐기며 다양한 경험을 쌓는 것이 목표였어요. 첫째 날, 우리는 성벽 도시의 고전적인 건물과 박물관을 탐험하며 역사적인 분위기를 느꼈어요. 

첫째 날, 현대 예술 갤러리에서 다양한 작품을 감상하고 도시의 거리 예술을 즐겼어요. 전통과 현대가 어우러진 분위기는 정말로 독특했어요. 

마지막 날, 도시의 전통 시장에서 지역 특산품을 살며 이번 여행을 마무리했어요. 전통과 현대가 공존하는 도시는 정말로 매력적이었어요. 다음에는 어떤 도시의 문화를 탐험할지 기대돼요!"
24,"[{""tag"":""관광""},{""tag"":""카페""},{""tag"":""자연""},{""tag"":""힐링""}]",24,"신비로운 자연 속 휴양지 탐험 5일을 마치고 돌아왔어요! 이번 여행은 자연 속의 신비로움과 평화로움을 찾아 나선 탐험에 초점을 맞추었어요. 첫째 날, 우리는 깊은 숲 속의 편안한 산장에서 숙박하며 자연의 소리에 귀를 기울였어요. 

첫째 날, 강가에서 카누를 타며 자연 속에서의 평화를 느꼈어요. 물결 소리와 새의 지저귐이 어우러진 특별한 경험이었어요. 

마지막 날, 해안가에서의 산책과 일몰 감상을 통해 이번 여행을 마무리했어요. 신비로운 자연 속 휴양지에서의 경험은 정말로 특별하고 감동적이었어요. 다음에는 어떤 자연 속 휴양지를 찾아볼지 기대돼요!"
25,"[{""tag"":""쇼핑""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""풍경""}]",25,"서부 황야의 모험 3일을 마치고 돌아왔어요! 이번 여행은 서부 황야에서의 자연과 캠핑을 통해 무한한 평화를 찾는 것이 목표였어요. 첫째 날, 우리는 광활한 사막에서 텐트를 치고 별빛 아래에서의 캠핑을 즐겼어요. 

첫째 날, 아름다운 협곡을 따라 하이킹을 통해 자연의 신비로움을 탐험했어요. 독특한 돌층계와 고요한 자연은 마음을 정화시켜 주었어요. 

마지막 날, 일출을 맞이하며 이번 여행을 마무리했어요. 서부 황야의 무한한 풍경과 평화로운 캠핑은 정말로 특별한 경험이었어요. 다음에는 다른 자연의 보석을 찾아보고 싶어요!"
26,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""풍경""},{""tag"":""도시""}]",26,"역동적인 도시 생활, 도심 탐험 4일을 마치고 돌아왔어요! 이번 여행은 현대적인 도시에서의 다양한 활동을 통해 도심 생활의 매력을 찾는 것이 목표였어요. 첫째 날, 우리는 도시의 상징적인 건물을 구경하고 다채로운 문화 이벤트에 참여하여 도심의 활력을 느꼈어요. 

첫째 날, 도시의 다양한 음식 문화를 탐험하며 맛있는 요리와 디저트를 즐겼어요. 다양한 맛을 경험하는 것은 정말로 즐거웠어요. 

마지막 날, 도시의 높은 곳에서의 전망을 감상하며 이번 여행을 마무리했어요. 역동적인 도시 생활은 정말로 흥미진진하고 다채로운 경험이었어요. 다음에는 다른 도시를 탐험해보고 싶어요!"
27,"[{""tag"":""액티비티""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""바다""}]",27,"자유로운 해변 휴가 5일을 마치고 돌아왔어요! 이번 여행은 해수욕과 다양한 해양 스포츠를 통해 바다에서의 즐거움을 찾는 것이 목표였어요. 첫째 날, 우리는 화이트샌드 비치에서 해변 음악을 즐기며 쾌적한 시간을 보냈어요. 

첫째 날, 스노클링과 제트 스키로 바다에서의 모험을 경험했어요. 맑은 바다에서의 다양한 수중 생물을 감상하는 것은 정말로 놀라운 경험이었어요. 

마지막 날, 일몰을 바라보며 해변에서의 휴가를 마무리했어요. 자유로운 해변 휴가는 정말로 상쾌하고 즐거운 시간이었어요. 다음에는 어떤 바다에서의 모험을 기대해볼지 기대돼요!"
28,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""자연""}]",28,"역사의 향기, 유럽 소도시 탐험 3일을 마치고 돌아왔어요! 이번 여행은 작은 유럽 소도시에서의 역사와 문화를 탐험하는 것이 목표였어요. 첫째 날, 우리는 도시의 성과 골목길을 걸으며 중세의 아름다움을 느꼈어요. ♀

둘째 날, 유럽 공연 예술의 중심지에서 클래식 음악을 감상하고 작은 갤러리에서 예술을 즐겼어요. 작은 도시의 큰 역사에 감동받았어요. 

마지막 날, 유럽 풍경과 함께하는 카페에서 차를 마시며 이번 여행을 마무리했어요. 작은 유럽 소도시는 정말로 매력적이고 아름다웠어요. 다음에는 다른 작은 도시를 탐험해보고 싶어요!"
29,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""바다""},{""tag"":""체험""}]",29,"한국의 자연경관과 전통마을 탐방 3일을 마치고 돌아왔어요! 이번 여행은 한국의 아름다운 자연과 전통을 느끼며 소소한 여행을 즐기는 것이 목표였어요. 첫째 날, 우리는 속리산에서의 하이킹을 통해 자연의 아름다움을 만끽했어요. 

둘째 날, 전주 한옥마을을 돌며 전통 가옥과 다양한 골목길을 탐험했어요. 한국의 전통 문화를 느낄 수 있는 특별한 경험이었어요. 

마지막 날, 남해의 해안도로를 따라 여유로운 드라이브를 즐기며 이번 여행을 마무리했어요. 한국의 다양한 모습을 만나며 정말로 즐거운 여행이었어요. 다음에는 어떤 한국의 지역을 탐험해볼지 기대돼요!"
30,"[{""tag"":""문화""},{""tag"":""자연""},{""tag"":""도심""}]",30,"도심 속 한옥스테이, 전통과 현대의 만남 4일을 마치고 돌아왔어요! 이번 여행은 도심 속에서 전통적인 한옥에서의 휴식과 도심의 현대적인 매력을 동시에 느끼는 것이 목표였어요. 첫째 날, 우리는 도심 한복판의 한옥스테이에서 편안한 밤을 보냈어요. 

첫째 날, 광화문 광장과 청계천을 거닐며 도시의 역사와 현대 문화를 즐겼어요. 전통과 현대가 공존하는 도심의 아름다움을 느낄 수 있었어요. 

마지막 날, 한복으로 도심 속 카페를 돌며 이번 도심 여행을 마무리했어요. 도심 속에서의 전통적인 휴식은 정말로 특별하고 색다른 경험이었어요. 다음에는 다른 도심 속 한옥에서의 휴식을 찾아보고 싶어요!"
31,"[{""tag"":""관광""},{""tag"":""숙박""},{""tag"":""풍경""},{""tag"":""바다""}]",31,"제주도의 자연과 해변 휴가 5일을 마치고 돌아왔어요! 이번 여행은 제주도의 환상적인 자연 경관과 맑은 바다에서의 여유로운 휴가를 즐기는 것이 목표였어요. 첫째 날, 우리는 성산일출봉에서의 일출을 감상하며 제주의 아름다움에 감탄했어요. 

첫째 날, 제주 해안의 멋진 해변을 돌며 해수욕과 서핑을 즐겼어요. 맑은 바다에서의 여름 휴가는 최고였어요. ♀

마지막 날, 제주의 특색 있는 음식과 함께하는 바다에서의 피크닉을 통해 이번 여행을 마무리했어요. 제주도의 아름다운 자연은 언제나 매력적이에요. 다음에는 다른 제주의 숨은 보석을 찾아보고 싶어요!"
32,"[{""tag"":""관광""},{""tag"":""도심""},{""tag"":""체험""}]",32,"서울의 현대미와 전통맛 탐험 3일을 마치고 돌아왔어요! 이번 여행은 서울의 현대적인 도시 생활과 전통적인 음식을 동시에 즐기는 것이 목표였어요. 첫째 날, 우리는 강남의 현대 예술 갤러리와 상점가를 돌며 도시의 활력을 느꼈어요. 

둘째 날, 인사동과 북촌 한옥마을에서 전통적인 음식과 차를 즐기며 한국의 고유 맛을 경험했어요. 전통과 현대가 공존하는 서울의 아름다움을 느낄 수 있었어요. 

마지막 날, 남산의 전망대에서 서울의 야경을 감상하며 이번 도시 여행을 마무리했어요. 서울은 정말로 다양한 매력을 지니고 있어요. 다음에는 다른 서울의 숨은 맛집을 찾아보고 싶어요!"
33,"[{""tag"":""숙박""},{""tag"":""문화""},{""tag"":""힐링""},{""tag"":""문화""}]",33,"경주의 역사와 자연 속 힐링 여행 4일을 마치고 돌아왔어요! 이번 여행은 경주의 역사적인 명소와 자연 속에서의 평화를 찾는 것이 목표였어요. 첫째 날, 우리는 석굴암과 불국사를 돌며 경주의 역사적인 분위기를 느꼈어요. 

둘째 날, 경주 국립 공원에서의 트레킹과 숲속에서의 소풍을 통해 자연 속에서의 힐링을 경험했어요. 새소리와 바람 소리가 어우러진 순간은 정말로 평화로웠어요. 

마지막 날, 경주 동궁과 월정사에서의 마무리를 하며 이번 여행을 마무리했어요. 경주는 역사와 자연이 공존하는 아름다운 곳이에요. 다음에는 다른 역사적인 도시를 탐험해보고 싶어요!"
34,"[{""tag"":""관광""},{""tag"":""액티비티""},{""tag"":""힐링""},{""tag"":""풍경""}]",34,"한국의 소나무 숲과 해안 도로 여행 3일을 마치고 돌아왔어요! 이번 여행은 소나무 숲에서의 트레킹과 해안 도로를 따라 여유로운 드라이브를 즐기는 것이 목표였어요. 첫째 날, 우리는 강원도의 소나무 숲에서 신선한 공기를 마시며 힐링을 즐겼어요. 

첫째 날, 동해안 해안 도로를 따라 가며 바다의 푸른 물과 함께하는 드라이브를 즐겼어요. 멋진 풍경과 함께하는 여유로운 여행이었어요. 

마지막 날, 도로 휴게소에서의 피크닉을 통해 이번 여행을 마무리했어요. 한국의 자연 경관은 언제나 감동적이에요. 다음에는 다른 소나무 숲과 해안 도로를 탐험하고 싶어요!"
35,"[{""tag"":""음식""},{""tag"":""체험""},{""tag"":""문화""}]",35,"한국 전통음식과 문화체험, 전주 여행 4일을 마치고 돌아왔어요! 이번 여행은 한국 전통음식의 맛과 전통 문화를 체험하는 것이 목표였어요. 첫째 날, 우리는 전주 한옥마을에서 한복을 입고 전통 차를 즐기며 한국의 전통을 체험했어요. 

첫째 날, 전주의 유명한 전통 음식과 한식 디저트를 맛보며 현지 음식 문화를 경험했어요. 다양한 맛에 푹 빠져들었어요. 

마지막 날, 전주 세계소리축제를 즐기며 이번 여행을 마무리했어요. 전주는 한국의 전통과 현대가 공존하는 아름다운 도시예요. 다음에는 다른 전통의 맛과 문화를 찾아볼지 기대돼요!"
36,"[{""tag"":""숙박""},{""tag"":""문화""},{""tag"":""문화""},{""tag"":""체험""}]",36,"한국의 역사와 미술, 경복궁과 갤러리 투어 3일을 마치고 돌아왔어요! 이번 여행은 서울의 역사적인 장소와 현대 미술을 동시에 즐기는 것이 목표였어요. 첫째 날, 우리는 경복궁과 창덕궁을 돌며 한국의 역사적인 아름다움을 느꼈어요. 

첫째 날, 서울의 현대미술 갤러리에서 다양한 작품을 감상하며 예술의 세계에 몰두했어요. 다양한 예술 형식을 접하는 것은 정말로 특별한 경험이었어요. 

마지막 날, 광화문 광장에서 서울의 전망을 바라보며 이번 여행을 마무리했어요. 서울은 역사와 예술이 공존하는 아름다운 도시예요. 다음에는 다른 서울의 역사적인 장소와 예술을 만나러 가고 싶어요!"
37,"[{""tag"":""쇼핑""},{""tag"":""액티비티""},{""tag"":""체험""},{""tag"":""바다""}]",37,"한국의 자연과 미술, 남해의 예술마을과 해안 풍경 4일을 마치고 돌아왔어요! 이번 여행은 남해의 예술마을과 아름다운 해안 풍경을 동시에 즐기는 것이 목표였어요. 첫째 날, 우리는 남해 예술마을에서 예술가들의 작품을 감상하며 예술과 자연의 조화를 느꼈어요. 

첫째 날, 남해 해안을 따라 가며 바다와 함께하는 힐링 드라이브를 즐겼어요. 맑은 바다와 고요한 해안 풍경은 마음을 편안하게 해주었어요. 

마지막 날, 남해의 전통적인 음식과 함께하는 해변에서의 소풍을 통해 이번 여행을 마무리했어요. 남해는 예술과 자연이 어우러진 아름다운 곳이에요. 다음에는 어떤 예술에 빠져들어볼지 기대돼요!"
38,"[{""tag"":""자연""},{""tag"":""문화""},{""tag"":""바다""},{""tag"":""산""}]",38,"한국의 소나무 숲과 해안 도로 여행 3일을 마치고 돌아왔어요! 이번 여행은 소나무 숲에서의 트레킹과 해안 도로를 따라 여유로운 드라이브를 즐기는 것이 목표였어요. 첫째 날, 우리는 강원도의 소나무 숲에서 신선한 공기를 마시며 힐링을 즐겼어요. 

둘째 날, 동해안 해안 도로를 따라 가며 바다의 푸른 물과 함께하는 드라이브를 즐겼어요. 멋진 풍경과 함께하는 여유로운 여행이었어요. 

마지막 날, 도로 휴게소에서의 피크닉을 통해 이번 여행을 마무리했어요. 한국의 자연 경관은 언제나 감동적이에요. 다음에는 다른 소나무 숲과 해안 도로를 탐험하고 싶어요!"
39,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""문화""},{""tag"":""체험""}]",39,"한국 전통음식과 문화체험, 전주 여행 4일을 마치고 돌아왔어요! 이번 여행은 한국 전통음식의 맛과 전통 문화를 체험하는 것이 목표였어요. 첫째 날, 우리는 전주 한옥마을에서 한복을 입고 전통 차를 즐기며 한국의 전통을 체험했어요. 

둘째 날, 전주의 유명한 전통 음식과 한식 디저트를 맛보며 현지 음식 문화를 경험했어요. 다양한 맛에 푹 빠져들었어요. 

마지막 날, 전주 세계소리축제를 즐기며 이번 여행을 마무리했어요. 전주는 한국의 전통과 현대가 공존하는 아름다운 도시예요. 다음에는 다른 전통의 맛과 문화를 찾아볼지 기대돼요!"
40,"[{""tag"":""관광""},{""tag"":""자연""},{""tag"":""바다""}]",40,"푸른 바다와 햇살 가득, 부산 해변 휴가 5일을 마치고 돌아왔어요! 이번 여행은 부산의 아름다운 해변과 다양한 바다 활동을 통해 여름을 즐기는 것이 목표였어요. 첫째 날, 우리는 해운대의 백사장에서 여름 휴가의 시작을 알렸어요. 

둘째 날, 오륙도에서의 해양 도보 여행과 해수욕으로 여름의 상쾌함을 만끽했어요. 다양한 해양 활동으로 신나는 시간을 보냈어요. ♀

마지막 날, 광안리 해변의 야간 풍경을 감상하며 이번 해변 휴가를 마무리했어요. 부산의 해변은 정말로 여름을 즐기기에 최고에요. 다음에는 어떤 부산의 바다를 만날지 기대돼요!"
